item_id_a,item_id_b,candidate_source,tfidf_cosine,rapidfuzz_wratio_name,token_jaccard_name,brand_relation,unit_size_relation,total_size_relation,pack_count_relation,category_token_jaccard,organic_relation,flavor_conflict,form_conflict,veto_reasons,final_score,route,llm_confidence,accept_source
2072339,1884124,T3,0.6438755350737083,85.5,0.5555555555555556,unknown,same,same,same,0.3333333333333333,match,False,False,,0.5978,route_to_llm,0.96,llm
374853,95694,T1,0.0,85.5,0.5333333333333333,exact,same,same,same,0.1111111111111111,match,False,False,,0.8095,route_to_llm,0.98,llm
1934974,1870832,T3,0.5421799144959144,67.85714285714286,0.3,unknown,same,same,same,0.16666666666666666,match,False,False,,0.5455,route_to_llm,0.98,llm
1946471,952285,T1+T3,0.5622059032194491,62.56410256410256,0.18518518518518517,exact,same,same,same,0.4444444444444444,match,False,False,,0.8523,route_to_llm,0.93,llm
1932447,114386,T3,0.5069795163250486,95.0,0.8571428571428571,unknown,same,same,same,0.4117647058823529,match,False,False,,0.6024,route_to_llm,0.97,llm
2068280,101909,T3,0.5669315883522658,85.5,0.25,unknown,same,same,same,0.6,match,False,False,,0.6019,route_to_llm,0.86,llm
2120335,115293,T3,0.643713803879141,76.41304347826087,0.35714285714285715,exact,unknown,unknown,unknown,0.07142857142857142,match,False,False,,0.6284,auto_accept,,rules
2253163,115346,T3,0.6876855018555122,100.0,1.0,exact,unknown,unknown,unknown,0.0625,match,False,False,,0.6756,auto_accept,,rules
2117234,105863,T3,0.7071358894261432,85.5,0.4,exact,same,same,same,0.25,match,False,False,,0.9013,auto_accept,,rules
1917096,97486,T3,0.5069358255426917,95.0,0.6363636363636364,unknown,same,multipack,multipack,0.5,match,False,False,,0.6068,route_to_llm,0.93,llm
2221725,113655,T3,0.6902938076143688,80.0,0.42857142857142855,exact,unknown,unknown,unknown,0.4166666666666667,match,False,False,,0.6577,auto_accept,,rules
2194408,1087058,T1+T3,0.5089773842836797,85.5,0.21052631578947367,exact,same,same,same,0.1,match,False,False,,0.87,route_to_llm,0.9,llm
2257781,952697,T3,0.4745836286358532,85.5,0.3333333333333333,unknown,same,same,same,0.0,match,False,False,,0.5609,route_to_llm,0.93,llm
2086735,91250,T3,0.4344601714615102,90.0,0.23076923076923078,unknown,same,same,same,0.0,match,False,False,,0.5641,route_to_llm,0.86,llm
2673005,1857085,T3,0.5477128715075589,85.5,0.2857142857142857,unknown,same,same,same,0.08333333333333333,match,False,False,,0.5738,route_to_llm,0.92,llm
2269587,97418,T1+T3,0.6554585480664066,83.66972477064219,0.375,exact,same,same,same,0.5,match,False,False,,0.9043,auto_accept,,rules
2069298,100297,T3,0.4971993032422227,85.5,0.4375,unknown,same,same,same,0.2,match,False,False,,0.5736,route_to_llm,0.94,llm
283335,100678,T3,0.6031833745388265,80.38461538461537,0.5,unknown,same,same,same,0.125,match,False,False,,0.5733,route_to_llm,0.9,llm
2222842,949697,T1+T3,0.6576042633329733,85.5,0.3333333333333333,exact,same,same,same,0.21428571428571427,match,False,False,,0.8935,auto_accept,,rules
2386181,114061,T3,0.450070763484568,68.62745098039215,0.38461538461538464,unknown,unknown,unknown,unknown,0.125,match,False,False,,0.2938,route_to_llm,0.93,llm
1927581,95099,T3,0.5021193389462226,90.0,0.5333333333333333,unknown,same,same,same,0.18181818181818182,match,False,False,,0.5813,route_to_llm,0.86,llm
2119442,100378,T1+T3,0.5478493257164991,84.44444444444444,0.5,exact,same,same,same,0.07692307692307693,match,False,False,,0.8716,route_to_llm,0.86,llm
2051841,97916,T3,0.4567891935172329,85.5,0.38461538461538464,unknown,same,same,same,0.125,match,False,False,,0.565,route_to_llm,0.96,llm
1932801,114573,T3,0.5023933251690255,87.08333333333333,0.5333333333333333,unknown,same,same,same,0.13333333333333333,match,False,False,,0.5737,route_to_llm,0.98,llm
2052675,2020672,T3,0.7579029740691271,95.0,0.6666666666666666,exact,unknown,unknown,unknown,0.3,match,False,False,,0.6869,auto_accept,,rules
