item_id_a,item_id_b,candidate_source,tfidf_cosine,rapidfuzz_wratio_name,token_jaccard_name,brand_relation,unit_size_relation,total_size_relation,pack_count_relation,category_token_jaccard,organic_relation,flavor_conflict,form_conflict,veto_reasons,final_score,route,llm_confidence,accept_source
363934,1087575,T1+T3,0.9166727989783784,95.0,0.6428571428571429,exact,same,same,same,0.42857142857142855,match,False,False,,0.9524,auto_accept,,rules
364873,95687,T1+T3,0.9109916090324254,95.0,0.5454545454545454,exact,same,same,same,0.3333333333333333,match,False,False,,0.947,auto_accept,,rules
600164,92835,T1+T3,0.8364717219407117,95.0,0.6666666666666666,exact,same,same,same,0.5,match,False,False,,0.9464,auto_accept,,rules
2116017,93563,T1+T3,0.8491814921099091,91.00840336134453,0.6363636363636364,exact,same,same,same,0.5714285714285714,match,False,False,,0.9443,auto_accept,,rules
2070358,1087549,T1+T3,0.8181944389449485,95.0,0.7272727272727273,exact,same,same,same,0.5,match,False,False,,0.9442,auto_accept,,rules
2063283,113276,T1+T3,0.7712382365671935,100.0,1.0,exact,same,same,same,0.375,match,False,False,,0.9413,auto_accept,,rules
2068950,94926,T1+T3,0.7284706859943297,96.2962962962963,0.9090909090909091,exact,same,same,same,0.6,match,False,False,,0.9407,auto_accept,,rules
2273927,1088099,T1+T3,0.7852807264193762,95.0,0.6363636363636364,exact,same,same,same,0.5,match,False,False,,0.9402,auto_accept,,rules
2086572,2028222,T1+T3,0.7090166601853163,100.0,1.0,exact,same,same,same,0.5,match,False,False,,0.9401,auto_accept,,rules
2112471,1086390,T1+T3,0.7812429979531718,95.0,0.8888888888888888,exact,same,same,same,0.5,match,False,False,,0.9397,auto_accept,,rules
1924182,1858707,T1+T3,0.7790932464202834,95.0,0.7,exact,same,same,same,0.5,match,False,False,,0.9395,auto_accept,,rules
361868,98910,T1+T3,0.8681517878035435,95.0,0.7142857142857143,exact,same,same,same,0.2727272727272727,match,False,False,,0.9388,auto_accept,,rules
374508,108860,T1+T3,0.7845110627562334,95.0,0.7272727272727273,exact,same,same,same,0.4444444444444444,match,False,False,,0.9374,auto_accept,,rules
2117002,950706,T1+T3,0.8087111017657411,95.0,0.6,exact,same,same,same,0.375,match,False,False,,0.9368,auto_accept,,rules
2116248,950706,T1+T3,0.8083754891227398,95.0,0.6,exact,same,same,same,0.375,match,False,False,,0.9368,auto_accept,,rules
2272408,955042,T1+T3,0.7541991090032326,95.0,0.5,exact,same,same,same,0.5,match,False,False,,0.9365,auto_accept,,rules
2220595,950497,T1+T3,0.7737666231243505,95.0,0.625,exact,same,same,same,0.4444444444444444,match,False,False,,0.9361,auto_accept,,rules
2073884,108095,T1+T3,0.7496485144812214,95.0,0.5714285714285714,exact,same,same,same,0.5,match,False,False,,0.936,auto_accept,,rules
2198059,104505,T1+T3,0.8164567792328029,95.0,0.8333333333333334,exact,same,same,same,0.3333333333333333,match,False,False,,0.9356,auto_accept,,rules
2202089,102671,T1+T3,0.8079193485400397,90.79646017699115,0.6428571428571429,exact,same,same,same,0.5,match,False,False,,0.9354,auto_accept,,rules
379347,105710,T1+T3,0.7789697522587735,95.0,0.5714285714285714,exact,same,same,same,0.4166666666666667,match,False,False,,0.9353,auto_accept,,rules
2080697,88188,T1+T3,0.669458584215132,100.0,1.0,exact,same,same,same,0.5,match,False,False,,0.9353,auto_accept,,rules
