item_id_A,item_id_B
363934,1087575
364873,95687
600164,92835
2116017,93563
2070358,1087549
2063283,113276
2068950,94926
2273927,1088099
2086572,2028222
2112471,1086390
1924182,1858707
361868,98910
374508,108860
2117002,950706
2116248,950706
2272408,955042
2220595,950497
2073884,108095
2198059,104505
2202089,102671
379347,105710
2080697,88188
2208934,112600
2067230,94923
2086170,113569
2077047,93727
2231016,106891
2111121,103847
2080637,112746
2071697,953202
2053291,97280
600383,108860
1919662,103119
374277,115321
2258536,953590
1919669,103111
600142,109059
1919661,103008
1943477,1087568
379218,100678
2115832,951152
2194676,100987
1924205,1849174
2080636,108398
2080373,1088553
2080062,112426
2115164,98032
2113545,1086256
2268972,1090680
2202781,95697
2230879,109167
2104808,951502
369919,102125
2207562,106386
2196957,97126
2115163,98095
2194601,110096
1946297,92062
2068706,954087
363544,103824
600416,104994
600414,97594
1938441,949443
1919668,102989
2065810,103385
2252657,113506
2064248,949392
374520,104218
2118972,1858707
2204110,106732
2116989,108375
2066236,1726375
957519,105283
1932331,1088557
2200706,1719498
2271171,956802
2126860,115087
2127500,103158
362245,115087
2260470,92247
2063613,106891
2069174,1089318
1924162,1087550
364902,101091
284352,102884
2120928,103423
2068328,94992
2204766,958012
2215712,948620
371788,110391
2260548,96673
2070374,1703249
2194164,103860
370171,1088564
2202146,2026629
2117956,101414
1932295,1088611
363114,111264
2196952,951995
2077330,105359
2230875,1090044
2114767,1864035
2258688,101269
374816,104659
2208066,110592
366378,114447
2196773,1864019
2260284,102547
2115269,1091940
2257800,1883971
374831,107348
2050431,109708
2194820,948566
2120208,953918
2069269,96718
2067515,93535
2271158,106902
2196956,1091524
2208223,114443
2258687,103964
361530,96978
2118849,101814
2115354,107684
1946299,93020
2119002,1872702
2199749,2009189
2194068,1087043
2118974,1866136
2200256,2009189
2382465,952911
2110321,99589
2215699,106902
369695,114969
1932584,98943
600314,114678
375871,104393
2118956,950344
2262368,96586
2111277,958118
2194388,1086901
2215727,1090186
2197744,952911
2194273,1086904
283473,950747
1932574,101605
2113114,109780
2119268,1849174
363921,97929
2127499,105799
2215696,1090186
2208418,113427
2116047,951905
2070280,94042
368624,92699
2200597,950188
2111276,958117
2116445,98356
2267558,106052
2194390,1086901
2068137,94883
2082695,952449
2258976,1891248
371510,96961
2122216,97938
2127125,105716
2203606,107538
2052663,2137853
1943474,92487
2380649,2137852
2196958,1091524
2076391,950573
1926726,1089222
2114976,1091553
363569,112753
2197671,952446
2258599,953590
365208,1091077
2086130,109446
372797,1722455
283416,957967
1917279,2157072
2063364,113775
2077811,1884030
2132941,2031064
1946300,92376
2195128,108021
2274336,95555
2074918,958517
2123700,108415
2208036,115558
2104757,1725337
2132483,2026631
1915456,98492
2270147,102750
600379,104994
2206215,112810
2082710,952446
1946323,955104
374055,104561
2120992,949191
2203769,952530
2051751,1895476
2236726,110597
362062,112446
2262812,949553
2195744,110600
2215824,1884021
2204677,950997
2110322,99670
2116987,108375
2200128,100608
373340,102209
2084765,113991
2208945,107527
2196793,953925
2117288,954572
2195202,2157051
2274049,950649
2118399,952983
2195575,108709
2063247,107210
2220238,1086252
2068752,92534
2118859,949246
2117957,101380
2194061,103046
2052367,1086256
2267526,109892
2068972,1091809
372030,1094243
2195136,950583
2114977,1091555
2196678,1086918
2067757,102571
2121382,952525
2074932,102594
2197626,92544
373239,96281
2199583,101811
1941497,951502
373658,111074
2196723,2017812
2227445,948679
2262841,950583
2127408,1092120
1944987,99878
2207968,111732
2074272,108868
2093513,96204
2106396,1091560
2081996,1092031
2216066,113938
2220076,952970
2065867,958569
2091591,114493
372418,100919
2117433,94925
364085,112604
2197834,953252
1921501,953768
366398,102962
957905,105626
2236378,112395
2074666,101930
2215782,950835
364916,97409
356592,98000
2194278,1086902
2063817,108860
2194415,2136662
285182,91856
2220192,2017812
2195206,2159341
2230930,951375
2271193,948620
2054187,95870
2272559,102966
2203239,1092052
2237004,111895
2269536,100472
2119286,104313
2093609,105432
2064950,107150
2204453,107661
364707,103666
2093621,105313
2117900,1086389
2393011,97999
2119288,98450
379366,103333
2204759,107925
2105314,108455
2122816,1091556
2124335,113108
373101,96694
2112511,1086259
2236519,111074
375918,98341
2196191,100142
1919931,1892294
2196694,2136673
2107091,96204
584513,101682
364447,103145
2055691,103917
2384092,105128
2094782,110750
2382042,2144460
2068758,93089
2071089,958115
2198114,1953948
375548,96578
2082705,96808
2120005,106450
2106014,1089484
2268847,111527
2076925,2028444
2089919,92792
2074861,102750
2126969,108294
2053314,2015007
2103963,113244
1927199,1726441
2227649,114824
2271139,1884022
2119257,93113
2120101,950649
2071113,97048
2200019,107043
2383346,1086162
2127356,2008329
2220190,2017813
2220191,2017813
373027,102455
2052800,1090836
2070200,94334
2197641,102941
2201585,1088646
2117764,114897
2227044,2008647
2271643,948557
1951910,104851
1912578,1722477
2113909,1854368
2127355,2008328
365447,2146635
2114684,101160
2051995,1086218
2063281,110237
2116995,111129
2204820,112271
2127357,2042652
375231,104851
369336,104964
2208561,110655
600264,110793
2198093,2159827
2273815,951889
1919667,103028
2198064,1090543
363687,104822
2381946,111129
2070270,94129
2258142,953467
2092731,955631
2208579,110593
2066375,103531
2202925,104390
2076934,1087111
2132415,1090965
2208497,1094235
376211,113379
2208642,949776
2272378,1952605
2093914,98034
2121085,105065
2196703,2137883
2198047,104851
2270553,107517
2126897,108021
2273283,1086256
2200571,96889
372649,97033
369037,98121
2114769,92854
1947675,949608
2094434,98714
1941684,1088101
2097746,108968
2220108,112124
2082855,954831
2112359,1091562
2259406,114897
2270645,952270
1919670,103240
2068136,93971
2382554,98001
2120601,104028
2068559,93260
2074670,96006
1939629,96926
2118711,97655
2268520,953780
364814,95601
2260534,101248
2117112,1170904
2127470,93665
369067,96139
2259304,111072
2115351,114406
2127519,104873
2200516,112124
2195208,2156681
2065970,96055
2216870,107656
2127762,1092034
2063355,949992
2053280,100180
2222319,1088658
2268555,1089597
599807,112053
2208624,949980
2123134,105568
2063600,112411
362926,112446
2258186,1477135
2268566,98072
2055965,100054
2209350,1091563
2208136,949740
376359,96164
600248,107088
2267753,107180
2124683,1725666
2068882,97655
2208410,106752
2085892,112870
379463,95458
2196194,104736
2194672,1719500
2106397,949990
374951,99745
2204442,107660
1949867,950344
2110792,97493
1948959,98096
2382900,108298
2196801,1091806
1940624,92657
2063294,950188
1945733,954334
2092765,101680
2091891,108411
1932627,1847177
2127360,2008329
371624,96259
2093533,99059
584433,104325
2121326,1087557
2117006,950747
2258689,95918
2260550,95918
1932630,1847175
2118292,948267
2116908,112091
2269776,948955
