item_id_A,name_A,brand_A,size_A,category_A,item_id_B,name_B,brand_B,size_B,category_B,size_bucket,rapidfuzz_wratio,token_jaccard
2076934,"RUSSELL STOVER Christmas Sugar Free Assorted Chocolate Candy Gift Box, 6.2 oz.",Russell Stover,Width: 11.5 in / Height: 5.375 in / Depth: 1.063 in / Weight: 6.2 oz,Food > Candy > Christmas Candy,1087111,Russell Stover Sugar Free Assorted Christmas Candy Gift Box,Russell Stover,6.2 ounce,Grocery > Candy > Seasonal & Holiday Candy,weight:6.2,95.0,0.8182
2115879,"Bounty Paper Napkins, White, 200 Count",Bounty,,Party & Occasions > Party Supplies > Party Tableware,106062,"Bounty Paper Napkins, White",Bounty,200 ct.,More Departments > Household Essentials > Paper & Plastic,count:200,95.0,0.6667
2070181,"Grown in Idaho® Super Crispy Crinkle Cut Fries, Frozen 28 oz Bag",Grown In Idaho,,Food > Frozen Foods > Frozen Potatoes,94628,"Grown In Idaho Fries, Crinkle Cut, Super Crispy",Grown In Idaho,28 ounce,"Frozen > French Fries, Onion Rings and Potatoes > French Fries",weight:28,95.0,0.6667
2111176,"(3 pack) Betty Crocker Super Moist Chocolate Fudge Cake Mix, 15.25 oz.",Betty Crocker,,Food > Baking > Easy to Make,99671,Betty Crocker Super Moist Chocolate Fudge Cake Mix,Betty Crocker,13.25 ounce,Grocery > Baking & Baking Ingredients > Baking Mixes,weight:15,95.0,0.6667
1921235,"Bauducco Chocolate Wafer, 5.82 oz",Bauducco,,Food > Pantry > International foods,98259,"Bauducco Wafer, Chocolate",Bauducco,5 ounce,Grocery > International Foods > Latino Foods,weight:5.8,95.0,0.6
2132941,"Cantu Weightless Smoothing Shampoo, 13.5 fl.oz.",Cantu,,Beauty > Hair Care > Textured Hair Care,2031064,Cantu Weightless Smoothing Shampoo,Cantu,13.5 fl. oz.,More Departments > Personal Care and Makeup > Hair Care,volume:14,95.0,0.5714
379338,"Oreo Peanut Butter Creme Chocolate Sandwich Cookies, Family Size, 17 Oz",OREO,,"Food > Snacks, Cookies & Chips > Cookies",97758,Oreo Peanut Butter Flavor Creme Chocolate Sandwich Cookies Family Size,Oreo,17 ounce,Grocery > Chips & Snack Foods > Cookies,weight:17,90.68181818181817,0.75
2113619,"Wish-Bone Italian Salad Dressing, 16 fl oz Bottle",Wish-Bone,,Food > Pantry > Salad dressings & toppings,96071,Wish-Bone Italian Salad Dressing,Wish-Bone,24 fl. oz.,Grocery > Salad Dressing & Condiments > Salad Dressing,volume:16,90.0,0.5556
2116445,"Ocean Spray® 100% Juice Cranberry Elderberry Juice Blend, 64 fl oz Bottle",Ocean Spray,,Food > Beverages > Juices,98356,"Ocean Spray 100% Juice, Cranberry",Ocean Spray,64 fl. oz.,Grocery > Beverages > Bottled Juice,volume:64,90.0,0.4545
2121046,"Everyone, Hand Soap, Lavender + Coconut, 12.75 fl oz Pack of 2",Everyone,12.75 fl oz,Personal Care > Bath & Body > Hand Soaps,1953534,"Everyone Hand Soap, Lavender + Coconut",Everyone,12.75 fl. oz.,More Departments > Personal Care and Makeup > Hand Soap,volume:13,90.0,0.4545
