a_level,b_level,a_category,support,b_top1,b_top1_share,b_top2,b_top2_share,b_top3,b_top3_share
a_cat0,b_cat0,Food,4874,Grocery,0.7669,Dairy,0.086,Frozen,0.0574
a_cat0,b_cat0,Personal Care,946,More Departments,0.9863,Grocery,0.0137,,
a_cat0,b_cat0,Beauty,706,More Departments,0.9986,Grocery,0.0014,,
a_cat0,b_cat0,Health and Medicine,448,More Departments,0.8906,Grocery,0.1027,Dairy,0.0045
a_cat0,b_cat0,Household Essentials,384,More Departments,0.9974,Grocery,0.0026,,
a_cat0,b_cat0,Baby,311,More Departments,1.0,,,,
a_cat0,b_cat0,Pets,293,Grocery,0.9898,More Departments,0.0068,Frozen,0.0034
a_cat0,b_cat0,Office Supplies,39,More Departments,1.0,,,,
a_cat0,b_cat0,Home,38,More Departments,0.8421,Grocery,0.1579,,
a_cat0,b_cat0,Seasonal,32,More Departments,0.9688,Grocery,0.0312,,
a_cat0,b_cat0,Party & Occasions,17,Grocery,0.5882,More Departments,0.4118,,
a_cat0,b_cat0,Shop with Purpose,16,More Departments,0.8125,Grocery,0.1875,,
a_cat0,b_cat0,Subscriptions,15,Grocery,0.9333,Frozen,0.0667,,
a_cat0,b_cat0,Home Improvement,13,More Departments,1.0,,,,
a_cat0,b_cat0,Clothing,12,More Departments,1.0,,,,
a_cat0,b_cat0,Arts Crafts & Sewing,11,More Departments,1.0,,,,
a_cat0,b_cat0,,10,Grocery,0.5,More Departments,0.3,Dairy,0.1
a_cat0,b_cat0,Patio & Garden,9,More Departments,0.7778,Grocery,0.2222,,
a_cat0,b_cat0,Premium Beauty,7,More Departments,1.0,,,,
a_cat0,b_cat0,Sports & Outdoors,5,More Departments,0.6,Grocery,0.4,,
a_cat0,b_cat0,Shop by Brand,2,More Departments,0.5,Grocery,0.5,,
a_cat0,b_cat0,Character Shop,2,More Departments,1.0,,,,
a_cat0,b_cat0,Electronics,2,More Departments,1.0,,,,
a_cat0,b_cat0,Toys,1,More Departments,1.0,,,,
a_cat0,b_cat0,Industrial & Scientific,1,Grocery,1.0,,,,
a_cat0,b_cat0,Shop by Movie,1,More Departments,1.0,,,,
a_cat1,b_cat1,Pantry,985,Pantry,0.2579,International Foods,0.2305,Soups & Broths,0.0954
a_cat1,b_cat1,Candy,975,Candy,0.7877,Bulk Foods,0.1528,Chips & Snack Foods,0.0154
a_cat1,b_cat1,"Snacks, Cookies & Chips",545,Chips & Snack Foods,0.7853,Protein & Snack Bars,0.0661,International Foods,0.0477
a_cat1,b_cat1,Beverages,512,Beverages,0.748,"Milk, Juice and Refrigerated Beverage",0.1133,Health and Wellness,0.0547
a_cat1,b_cat1,Bath & Body,448,Personal Care and Makeup,0.9464,Health and Wellness,0.0268,Baby & Toddler,0.0179
a_cat1,b_cat1,Baking,281,Baking & Baking Ingredients,0.7082,Candy,0.0819,Pantry,0.0641
a_cat1,b_cat1,Dairy & Eggs,260,Cheese,0.1808,Baking & Baking Ingredients,0.1538,Yogurt,0.1423
a_cat1,b_cat1,Seasonal Grocery,217,Beverages,0.1336,Baking & Baking Ingredients,0.0876,Chips & Snack Foods,0.0876
a_cat1,b_cat1,Feeding,177,Baby & Toddler,0.9944,Health and Wellness,0.0056,,
a_cat1,b_cat1,Household Essentials by Brand,161,Household Essentials,0.8571,Personal Care and Makeup,0.1429,,
a_cat1,b_cat1,Frozen Foods,159,Appetizers & Frozen Meals,0.3962,Frozen Vegetables,0.0943,International Foods,0.0692
a_cat1,b_cat1,Hair Care,145,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Skincare,142,Personal Care and Makeup,0.9577,Baby & Toddler,0.0423,,
a_cat1,b_cat1,Breakfast & Cereal,139,Breakfast,0.6835,Protein & Snack Bars,0.1007,Yogurt,0.0863
a_cat1,b_cat1,Bakery & Bread,117,Chips & Snack Foods,0.6667,Sandwich Breads & Rolls,0.2222,Special Diet,0.0171
a_cat1,b_cat1,Cats,113,Pet,1.0,,,,
a_cat1,b_cat1,Dietary & Lifestyle Shop,101,Chips & Snack Foods,0.198,"Milk, Juice and Refrigerated Beverage",0.0891,Beverages,0.0792
a_cat1,b_cat1,Oral Care,97,Personal Care and Makeup,0.9897,Health and Wellness,0.0103,,
a_cat1,b_cat1,Coffee,94,Beverages,0.7553,Coffee Creamer and Cream,0.0851,International Foods,0.0426
a_cat1,b_cat1,International Food,94,International Foods,0.617,Chips & Snack Foods,0.1064,Pantry,0.0638
a_cat1,b_cat1,Vitamins and Supplements,90,Health and Wellness,0.9778,Baby & Toddler,0.0222,,
a_cat1,b_cat1,Alcohol,79,Beer Shop,0.6203,Beverages,0.2152,Wine,0.0886
a_cat1,b_cat1,Laundry,77,Household Essentials,1.0,,,,
a_cat1,b_cat1,Personal Care by Brand,76,Personal Care and Makeup,0.9868,Household Essentials,0.0132,,
a_cat1,b_cat1,Makeup,74,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Beauty by Top Brands,73,Personal Care and Makeup,0.9863,Baby & Toddler,0.0137,,
a_cat1,b_cat1,Protein,73,Health and Wellness,0.589,Protein & Snack Bars,0.2603,Beverages,0.0411
a_cat1,b_cat1,Deli,72,Hot Dogs & Cold Cuts,0.1944,Bacon,0.1389,Refrigerated Dips and Sour Cream,0.1111
a_cat1,b_cat1,Pets Shop By Brand,68,Pet,1.0,,,,
a_cat1,b_cat1,Dogs,65,Pet,0.9692,Household Essentials,0.0154,Fruit,0.0154
a_cat1,b_cat1,Beauty Best Sellers,63,Personal Care and Makeup,0.9841,Baby & Toddler,0.0159,,
a_cat1,b_cat1,Men's Essentials,62,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Feminine Care,57,Personal Care and Makeup,0.9649,Health and Wellness,0.0351,,
a_cat1,b_cat1,Cleaning Supplies,57,Household Essentials,0.9474,Baby & Toddler,0.0526,,
a_cat1,b_cat1,Meat & Seafood,56,Hot Dogs & Cold Cuts,0.3036,Plant Based Protein,0.1607,Bacon,0.1071
a_cat1,b_cat1,Curly hair & more store,54,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Personal Care Mindful Living Shop,52,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Diapering,48,Baby & Toddler,0.9167,Personal Care and Makeup,0.0833,,
a_cat1,b_cat1,Air Fresheners,43,Household Essentials,0.9767,Baking & Baking Ingredients,0.0233,,
a_cat1,b_cat1,Regimens and Routines,41,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Beauty by Topic,41,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Hair Type,39,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Sports Medicine & Injury Recovery Solution,36,Personal Care and Makeup,0.9444,Health and Wellness,0.0556,,
a_cat1,b_cat1,Daycare &  Preschool Essentials,31,Baby & Toddler,1.0,,,,
a_cat1,b_cat1,Value packs,29,Pantry,0.3793,Beverages,0.1724,Chips & Snack Foods,0.1724
a_cat1,b_cat1,Cough Cold and Flu medicine,29,Health and Wellness,0.931,Baby & Toddler,0.069,,
a_cat1,b_cat1,Dermatologist Recommended,28,Personal Care and Makeup,0.8571,Baby & Toddler,0.0714,Health and Wellness,0.0357
a_cat1,b_cat1,Shop All Candy,26,Candy,0.5,Baking & Baking Ingredients,0.3846,Bulk Foods,0.1154
a_cat1,b_cat1,Pain management,23,Health and Wellness,0.9565,Personal Care and Makeup,0.0435,,
a_cat1,b_cat1,Cold Weather Skincare,22,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Weight Loss,21,Protein & Snack Bars,0.619,Health and Wellness,0.2857,Beverages,0.0952
a_cat1,b_cat1,Shop by Baby Brand,20,Baby & Toddler,0.85,Health and Wellness,0.1,Personal Care and Makeup,0.05
a_cat1,b_cat1,Mindful Living Shop,20,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,School Supplies,19,Household Essentials,0.8947,Personal Care and Makeup,0.1053,,
a_cat1,b_cat1,Allergy Medicine,18,Health and Wellness,1.0,,,,
a_cat1,b_cat1,Kitchen & Dining,18,Kitchen and Home,0.7222,Protein & Snack Bars,0.1111,Baking & Baking Ingredients,0.1111
a_cat1,b_cat1,Nailcare,17,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Organic Shop,17,Beverages,0.3529,Pantry,0.2353,International Foods,0.1765
a_cat1,b_cat1,Pets Subscription,17,Pet,1.0,,,,
a_cat1,b_cat1,Immune Support,17,Health and Wellness,1.0,,,,
a_cat1,b_cat1,FSA and HSA Store,16,Personal Care and Makeup,0.5625,Health and Wellness,0.4375,,
a_cat1,b_cat1,Shaving,16,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Built for Better,16,Personal Care and Makeup,0.6875,Chips & Snack Foods,0.125,Household Essentials,0.0625
a_cat1,b_cat1,Dove Men + Care,16,Candy,0.5625,Personal Care and Makeup,0.4375,,
a_cat1,b_cat1,Paper & Plastic,15,Household Essentials,0.8667,Kitchen and Home,0.1333,,
a_cat1,b_cat1,,15,Pet,0.2,Household Essentials,0.1333,Pantry,0.1333
a_cat1,b_cat1,Subscription Grocery,15,Salad Dressing & Condiments,0.4,International Foods,0.2667,Pantry,0.1333
a_cat1,b_cat1,Digestive Health,15,Health and Wellness,1.0,,,,
a_cat1,b_cat1,Appliances,14,Kitchen and Home,0.9286,Household Essentials,0.0714,,
a_cat1,b_cat1,Shop All Bread and Bakery,14,Chips & Snack Foods,0.5714,Sandwich Breads & Rolls,0.1429,Protein & Snack Bars,0.0714
a_cat1,b_cat1,Shop All Breakfast,13,Breakfast,0.7692,Chips & Snack Foods,0.0769,Beverages,0.0769
a_cat1,b_cat1,Grab & Go,13,Candy,0.4615,Chips & Snack Foods,0.3077,Beverages,0.1538
a_cat1,b_cat1,Markers and Highlighters,13,Household Essentials,0.9231,Personal Care and Makeup,0.0769,,
a_cat1,b_cat1,Foot Care,12,Health and Wellness,0.6667,Personal Care and Makeup,0.3333,,
a_cat1,b_cat1,Art Supplies,11,Household Essentials,1.0,,,,
a_cat1,b_cat1,Premium Pet Brands,11,Pet,1.0,,,,
a_cat1,b_cat1,Eye Care,11,Health and Wellness,1.0,,,,
a_cat1,b_cat1,First Aid,10,Health and Wellness,0.5,Personal Care and Makeup,0.5,,
a_cat1,b_cat1,Restock & Save On Hair Care,10,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Pest Control,10,Household Essentials,1.0,,,,
a_cat1,b_cat1,Incontinence,10,Health and Wellness,0.8,Personal Care and Makeup,0.2,,
a_cat1,b_cat1,Baby Bath & Skin Care,10,Baby & Toddler,0.5,Personal Care and Makeup,0.5,,
a_cat1,b_cat1,Stock Up Essentials,9,Personal Care and Makeup,1.0,,,,
a_cat1,b_cat1,Holiday baked goods,9,Baking & Baking Ingredients,0.8889,Candy,0.1111,,
