store,column,nonmissing,missing,missing_pct,unique_nonmissing,example
A,item_id,233199,0,0.0,233198,363563
A,name,233197,2,9e-06,221102,"Great Value Corn on The Cob, 24 Count (Frozen)"
A,brand_raw,126235,106964,0.458681,18878,Mainstays
A,name_clean,0,233199,1.0,0,
A,description,18908,214291,0.918919,18349,"<h2>Gather around the dining table with Great Value Corn on the Cob!</h2>  <p>Eating your veggies just got easier with Great Value Corn on the Cob. With no added chemicals or sugars, Great Value Corn on the Cob is frozen to ensure long-lasting farm-fresh flavors perfect for delicious, easy, and quick dinner ideas. Great Value Corn on the Cob is not only fast and easy to prepare but sure to satisfy. Ready in minutes, all you have to do is heat in a microwave-safe dish in the microwave or boil the frozen corn cobs in a saucepan on the stove.</p>  <h3>About Great Value</h3>  <p>Great Value products provide families with affordable, high-quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time.</p>"
A,category,0,233199,1.0,0,
A,department,0,233199,1.0,0,
A,url,233194,5,2.1e-05,233148,https://www.walmart.com/ip/Great-Value-Corn-on-The-Cob-24-Count-Frozen/10315184
A,item_type,0,233199,1.0,0,
A,item_info,219571,13628,0.058439,26667,"{""category_0"": ""Food"", ""category_1"": ""Dietary & Lifestyle Shop"", ""category_2"": ""Feel Good Sides"", ""category_3"": null, ""storage_type"": null, ""packaging_description"": null}"
A,tags,5,233194,0.999979,2,"{""billed_by_weight"": false, ""size_user_friendly"": null, ""uom_billed_by_weight"": null}"
A,subcategory,0,233199,1.0,0,
A,is_private_label,0,233199,1.0,0,
A,sizing_comp,219576,13623,0.058418,14076,"{""billed_by_weight"": false, ""ordered_by_weight"": false, ""avg_size_per_piece"": null, ""size_user_friendly"": null, ""uom_billed_by_weight"": null, ""uom_ordered_by_weight"": null}"
A,size_raw,0,233199,1.0,0,
A,datapoint_id,139832,93367,0.400375,137599,40850972
A,raw_data_id,186666,46533,0.199542,5544,20733
A,created_at_utc,233194,5,2.1e-05,2668,2026-02-26 18:37:53.679383 +00:00
A,updated_at_utc,233189,10,4.3e-05,4024,2026-04-27 01:19:12.394578 +00:00
A,info_category_0,219263,13936,0.05976,43,Food
A,info_category_1,219068,14131,0.060596,890,Dietary & Lifestyle Shop
A,info_category_2,183630,49569,0.212561,4128,Feel Good Sides
A,info_category_3,110244,122955,0.527254,6086,Picture Frames Shop All
A,info_storage_type,13896,219303,0.940411,4,dry
A,info_packaging_description,18496,214703,0.920686,443,Bag
