block,item_id_A,name_A,brand_A,size_A,item_id_B,name_B,brand_B,size_B,score,token_jaccard,block_cols
maybelline|volume:0.43,2208984,"Maybelline Great Lash Lots Of Lashes Washable Mascara, Blackest Black",Maybelline,0.43 fl oz,115567,Maybelline Great Lash Lots Of Lashes® Washable Mascara Blackest Black,Maybelline,0.43 fl. oz.,100.0,1.0,brand_norm+size_bucket
maybelline|volume:0.3,2227649,"Maybelline Lash Sensational Luscious Waterproof Mascara, Very Black",Maybelline,0.3 fl oz,114824,Maybelline Lash Sensational Luscious Waterproof Mascara Very Black,Maybelline,0.3 fl. oz.,100.0,1.0,brand_norm+size_bucket
maybelline|volume:0.22,2208934,"Maybelline Define-A-Lash Lengthening Washable Mascara, Very Black",Maybelline,0.22 fl oz,112600,Maybelline Define-A-Lash Lengthening Washable Mascara Very Black,Maybelline,0.22 fl. oz.,100.0,1.0,brand_norm+size_bucket
windex|volume:23,2086572,"Windex Disinfectant Cleaner Multi-Surface Citrus Fresh, Spray Bottle, 23 fl oz",Windex,,2028222,"Windex Disinfectant Cleaner Multi-Surface Citrus Fresh, Spray Bottle, 23 fl oz",Windex,23 fl. oz.,100.0,1.0,brand_norm+size_bucket
ziploc|count:42,2080636,"Ziploc® Brand Storage Slider Quart Bags, Power Shield™ Technology, Expandable Bottom, 42 Count",Ziploc,,108398,"Ziploc ® Brand Storage Slider Quart Bags, Power Shield™ Technology, Expandable Bottom, 42 count",Ziploc,42 ct.,100.0,1.0,brand_norm+size_bucket
sensodyne|weight:4,2063283,Sensodyne Fresh Mint Cavity Prevention and Sensitivity Relief Toothpaste - 4 Ounces,Sensodyne,,113276,Sensodyne Fresh Mint Cavity Prevention and Sensitivity Relief Toothpaste - 4 Ounces,Sensodyne,4 ounce,100.0,1.0,brand_norm+size_bucket
tyson|weight:40,2080697,"Tyson Boneless Skinless Chicken Breasts, 2.5 lb. (Frozen)",Tyson,2.5 lbs,88188,"Tyson Boneless Skinless Chicken Breasts, 2.5 lb. (Frozen)",Tyson,40 ounce,100.0,1.0,brand_norm+size_bucket
ziploc|count:32,2080062,"Ziploc Brand Storage Slider Gallon Bags, Power Shield Technology, Expandable Bottom, 32 Count",Ziploc,,112426,"Ziploc ® Brand Storage Slider Gallon Bags, Power Shield™ Technology, Expandable Bottom, 32 count",Ziploc,32 ct.,100.0,1.0,brand_norm+size_bucket
welly|count:50,2382042,Welly Glow in the Dark Flex Fabric Bandages 50ct,Welly,,2144460,Welly Glow in the Dark Flex Fabric Bandages 50ct,Welly,50 ct.,100.0,1.0,brand_norm+size_bucket
aussie|volume:8.5,2230879,"Aussie Sprunch Non-Aerosol Hair Spray for Curly Hair and Wavy Hair, 8.5 fl oz",Aussie,,109167,"Aussie Sprunch Non-Aerosol Hair Spray for Curly Hair and Wavy Hair, 8.5 fl oz",Aussie,8.5 fl. oz.,100.0,1.0,brand_norm+size_bucket
ziploc|count:34,2080637,"Ziploc Brand Quart Freezer Slider Bags, Power Shield Technology for More Durability, 34 Count",Ziploc,,112746,"Ziploc ® Brand Quart Freezer Slider Bags, Power Shield™ Technology for More Durability, 34 count",Ziploc,34 ct.,100.0,1.0,brand_norm+size_bucket
ziploc|count:38,2113114,"Ziploc® Brand Quart Freezer Storage Bags, Stay Open Design, Easy to Fill, 38 Count",Ziploc,,109780,"Ziploc ® Brand Quart Freezer Storage Bags, Stay Open Design, Easy to Fill, 38 count",Ziploc,38 ct.,100.0,1.0,brand_norm+size_bucket
glade|volume:1.3,1932295,"Glade PlugIns Scented Oil Air Freshener Refills, First Frost, 1.34 fl oz, 2 Refills",Glade,,1088611,"Glade PlugIns Scented Oil Air Freshener Refills, First Frost, 1.34 fl oz, 2 Refills",Glade,1.34 fl. oz.,100.0,1.0,brand_norm+size_bucket
glade|weight:8,1932331,"Glade Odor Fighting Soft Mist Air Freshener Room Spray, Dewdrop Petals, 8.0oz, 1pk",Glade,,1088557,"Glade Odor Fighting Soft Mist Air Freshener Room Spray, Dewdrop Petals, 8.0oz, 1pk",Glade,8 ounce,100.0,1.0,brand_norm+size_bucket
tasty bite|weight:10,2066236,Tasty Bite Organic Coconut Chickpea & Turmeric Curry 10oz - Creamy chickpea turmeric curry,Tasty Bite,,1726375,Tasty Bite Organic Coconut Chickpea & Turmeric Curry 10oz - Creamy chickpea turmeric curry,Tasty Bite,10 ounce,100.0,1.0,brand_norm+size_bucket
tru fru|weight:8,2069761,"Tru Fru Frozen Strawberries in Dark & White Chocolate, 8oz",Tru Fru,,954023,"Tru Fru Frozen Strawberries in Dark & White Chocolate, 8oz",Tru Fru,8 ounce,100.0,1.0,brand_norm+size_bucket
lesserevil|weight:6,1923643,"Lesser Evil Moonions, Intergalactic Onion 6oz",LesserEvil,,1091549,"LesserEvil Moonions, Intergalactic Onion 6oz",LesserEvil,6 ounce,98.8506,0.5714,brand_norm+size_bucket
secret|weight:3.8,2064248,"Secret Clinical Strength Dry Spray Antiperspirant & Deodorant for Women, Completley Clean Scent, 3.8oz",Secret,,949392,"Secret Clinical Strength Dry Spray Antiperspirant & Deodorant for Women, Completley Clean Scent",Secret,3.8 ounce,96.9697,0.9286,brand_norm+size_bucket
