item_id,name,brand_raw,name_clean,info_category_0,info_category_1,info_category_2,info_category_3,sizing_size_user_friendly,size_bucket,is_private_label_inferred,url
1091830,"Wegmans Honey Ham, Thin Shaved Chipped",Wegmans,,More Departments,Deli,Ham,Flavored Ham,,,True,https://www.wegmans.com/shop/product/829517-Honey-Ham-Thin-Shaved-Chipped
953537,"Olyra Strawberry Soft Baked Bites, Organic, On the Go, 4 Pack, Box",Olyra,,Grocery,Protein & Snack Bars,Breakfast & Snack Bars,,5.3 ounce,weight:5.3,False,https://www.wegmans.com/shop/product/940814-Strawberry-Soft-Baked-Bites-Organic-On-the-Go-4-Pack-Box
99004,Perfect Bar Chocolate Mint Protein Bar,Perfect Bar,,Dairy,Refrigerated Bars,,,18.4 ounce,weight:18,False,https://www.wegmans.com/shop/product/850869-Chocolate-Mint-Protein-Bar
87989,Wegmans Chorizo Pork Sausage,Wegmans,,Meat,Sausage,,,12 ounce,weight:12,True,https://www.wegmans.com/shop/product/25982-Chorizo-Pork-Sausage
2683809,BodyArmor Zero Sugar Lemon Lime Sports Drink,,,Grocery,Beverages,Sports & Energy Drinks,Sports Drinks,96 fl. oz.,volume:96,False,https://www.wegmans.com/shop/product/972015-Zero-Sugar-Lemon-Lime-Sports-Drink
1090632,Wish-Bone No Sugar Added Ranch Salad Dressing,Wish-Bone,,Grocery,Salad Dressing & Condiments,Salad Dressing,,15 fl. oz.,volume:15,False,https://www.wegmans.com/shop/product/957385-No-Sugar-Added-Ranch-Salad-Dressing
948585,"Kitsch Bobby Pins, Metal",Kitsch,,More Departments,Personal Care and Makeup,Hair Care,Accessories,8 each,,False,https://www.wegmans.com/shop/product/938704-Bobby-Pins-Metal
1084008,"Organic Baby Medley Potatoes, 1.5 lb Bag",,,Produce & Floral,Vegetables,Potatoes,,24 ounce,weight:24,False,https://www.wegmans.com/shop/product/630714-Baby-Medley-Potatoes-15-lb-Bag
1086759,Caviar Russe Caspian Golden Osetra,Caviar Russe,,Cheese,Easy Appetizers & Pairings,"Pate, Caviar & Truffles",,4.4 ounce,weight:4.4,False,https://www.wegmans.com/shop/product/342851-Caspian-Golden-Osetra
115663,"Ava Stapler, Full Metal, Durable",Ava,,More Departments,Household Essentials,School and Office Supplies,School Accessories,1 each,,False,https://www.wegmans.com/shop/product/573265-Stapler-Full-Metal-Durable
94525,"Turkey Hill Ice Cream, Dutch Chocolate, Premium",Turkey Hill,,Frozen,Ice Cream,Ice Cream,Ice Cream,1.44 quart,,False,https://www.wegmans.com/shop/product/889746-Ice-Cream-Dutch-Chocolate-Premium
1083615,Sloop Evergreen Winter IPA 4pk/16oz Cans,Sloop,,"Wine, Beer & Spirits",Beer Shop,Limited Release,,64 fl. oz.,volume:64,False,https://www.wegmans.com/shop/product/942950-Evergreen-Winter-IPA-4pk16oz-Cans
108323,Zyrtec Children's Grape Flavor 1 mg/ml Allergy,Zyrtec,,More Departments,Health and Wellness,Allergy & Sinus,Children's,8 fl. oz.,volume:8,False,https://www.wegmans.com/shop/product/827265-Childrens-Grape-Flavor-1-mgml-Allergy
115435,"BIOSIL Collagen Generator, Advanced",BIOSIL,,More Departments,Health and Wellness,Vitamins and Supplements,Joint & Inflammation,1 fl. oz.,volume:1,False,https://www.wegmans.com/shop/product/407135-Collagen-Generator-Advanced
951258,"Pure Body Wash & Shampoo, Baby, Fragrance Free",Pure,,More Departments,Baby & Toddler,Bath & Toiletries,Baby Washes & Shampoos,22.5 fl. oz.,volume:22,False,https://www.wegmans.com/shop/product/928640-Body-Wash-Shampoo-Baby-Fragrance-Free
95957,Twinings Earl Grey Black Tea Value Pack,Twinings,,Grocery,Beverages,Tea,Black Tea,50 ct.,count:50,False,https://www.wegmans.com/shop/product/112297-Earl-Grey-Black-Tea-Value-Pack
2137849,Oreo Cookie Dough Cookies,Oreo,,Grocery,Chips & Snack Foods,Cookies,Cookies,10.68 ounce,weight:11,False,https://www.wegmans.com/shop/product/971959-Cookie-Dough-Cookies
