item_id_A,name_A,brand_A,cat_A,rank,score,item_id_B,name_B,brand_B,cat_B
1938816,"Dove Peppermint Bark Liquid Hand Wash for Deep Nourishment Holiday Treats Limited Edition, 12 fl oz",,,1,0.401,1087362,"Dove Gifts Dark Chocolate, Peppermint Bark",Dove,Seasonal & Holiday Candy
1938816,"Dove Peppermint Bark Liquid Hand Wash for Deep Nourishment Holiday Treats Limited Edition, 12 fl oz",,,2,0.3621,1084741,"Wegmans Dark Chocolate Peppermint Bark, Limited Edition",Wegmans,Candy and Gum
1938816,"Dove Peppermint Bark Liquid Hand Wash for Deep Nourishment Holiday Treats Limited Edition, 12 fl oz",,,3,0.3593,1084761,"Wegmans White Chocolate Peppermint Bark, Limited Edition",Wegmans,Candy and Gum
1937218,"Equate Athlete's Foot Antifungal Powder Spray, Tolnaftate 1%, 4.6 oz, Compare to Tinactin® Athlete's Foot Powder Spray Active Ingredient",,,1,0.453,114743,"Odor-Eaters Tolnaftate Antifungal, Spray Powder",Odor-Eaters,Foot Care
1937218,"Equate Athlete's Foot Antifungal Powder Spray, Tolnaftate 1%, 4.6 oz, Compare to Tinactin® Athlete's Foot Powder Spray Active Ingredient",,,2,0.4158,115743,"TopCare Health Powder Spray, Athlete's Foot, Medicated",TopCare,Foot Care
1937218,"Equate Athlete's Foot Antifungal Powder Spray, Tolnaftate 1%, 4.6 oz, Compare to Tinactin® Athlete's Foot Powder Spray Active Ingredient",,,3,0.4158,107328,"TopCare Health Powder Spray, Athlete's Foot, Medicated",TopCare,Foot Care
2049736,"(3 pack) Method Foaming Hand Soap, Waterfall, 10 Ounce",,,1,0.5467,114396,"Method Hand Wash, Waterfall",Method,Hand Soap
2049736,"(3 pack) Method Foaming Hand Soap, Waterfall, 10 Ounce",,,2,0.5157,114062,"Method Foaming Hand Wash, Lemon Mint",Method,Hand Soap
2049736,"(3 pack) Method Foaming Hand Soap, Waterfall, 10 Ounce",,,3,0.4552,109264,"Method Hand Wash, Foaming, Sweet Water",Method,Hand Soap
2197644,"(2 pack) Diet Pepsi Cola Soda Pop, 12 fl oz, 12 Pack Cans",Pepsi,Soda Pop,1,0.7059,102406,Diet Pepsi Cola,Diet Pepsi,Soda & Pop
2197644,"(2 pack) Diet Pepsi Cola Soda Pop, 12 fl oz, 12 Pack Cans",Pepsi,Soda Pop,2,0.6901,95599,Pepsi Diet Cola Soda,Pepsi,Soda & Pop
2197644,"(2 pack) Diet Pepsi Cola Soda Pop, 12 fl oz, 12 Pack Cans",Pepsi,Soda Pop,3,0.6837,105472,Pepsi Cola Soda,Pepsi,Soda & Pop
