store,field,value,count,share
A,brand_raw,Mainstays,3487,0.014953
A,brand_raw,Wonder Nation,1555,0.006668
A,brand_raw,Carter's Child of Mine,1356,0.005815
A,brand_raw,Way To Celebrate,1339,0.005742
A,brand_raw,Better Homes & Gardens,1319,0.005656
A,brand_raw,Hyper Tough,1096,0.0047
A,brand_raw,Great Value,1040,0.00446
A,brand_raw,Hallmark,1028,0.004408
A,brand_raw,WWE,988,0.004237
A,brand_raw,Equate,815,0.003495
A,brand_raw,Garanimals,795,0.003409
A,brand_raw,Disney,776,0.003328
A,brand_raw,Monster Jam,770,0.003302
A,brand_raw,Modern Moments,742,0.003182
A,brand_raw,Athletic Works,719,0.003083
A,brand_raw,Avia,715,0.003066
A,brand_raw,Buffalo Games,702,0.00301
A,brand_raw,Jada Toys,690,0.002959
A,brand_raw,Reebok,665,0.002852
A,brand_raw,Ozark Trail,626,0.002684
A,brand_raw,Hot Wheels,575,0.002466
A,brand_raw,Vibrant Life,558,0.002393
A,brand_raw,Funko,556,0.002384
A,brand_raw,Freshness Guaranteed,536,0.002298
A,brand_raw,onn,505,0.002166
A,brand_norm,mainstays,3487,0.014953
A,brand_norm,wonder nation,1556,0.006672
A,brand_norm,carter s child of mine,1356,0.005815
A,brand_norm,way to celebrate,1339,0.005742
A,brand_norm,better homes and gardens,1319,0.005656
A,brand_norm,hyper tough,1096,0.0047
A,brand_norm,great value,1040,0.00446
A,brand_norm,hallmark,1028,0.004408
A,brand_norm,wwe,988,0.004237
A,brand_norm,equate,815,0.003495
A,brand_norm,garanimals,795,0.003409
A,brand_norm,disney,776,0.003328
A,brand_norm,monster jam,770,0.003302
A,brand_norm,modern moments,742,0.003182
A,brand_norm,athletic works,719,0.003083
A,brand_norm,avia,715,0.003066
A,brand_norm,buffalo games,702,0.00301
A,brand_norm,jada toys,690,0.002959
A,brand_norm,reebok,665,0.002852
A,brand_norm,ozark trail,626,0.002684
A,brand_norm,hot wheels,575,0.002466
A,brand_norm,vibrant life,558,0.002393
A,brand_norm,funko,557,0.002389
A,brand_norm,freshness guaranteed,536,0.002298
A,brand_norm,onn,505,0.002166
A,info_category_0,Food,73478,0.315087
A,info_category_0,Health and Medicine,20501,0.087912
A,info_category_0,Personal Care,15715,0.067389
A,info_category_0,Household Essentials,14802,0.063474
A,info_category_0,Toys,14138,0.060626
A,info_category_0,Pets,13158,0.056424
A,info_category_0,Baby,12805,0.05491
A,info_category_0,Clothing,11990,0.051415
A,info_category_0,Home,9497,0.040725
A,info_category_0,Beauty,5243,0.022483
A,info_category_0,Home Improvement,4786,0.020523
A,info_category_0,Sports & Outdoors,4246,0.018208
A,info_category_0,Party & Occasions,3375,0.014473
A,info_category_0,Office Supplies,1872,0.008027
A,info_category_0,Auto & Tires,1848,0.007925
A,info_category_0,Electronics,1557,0.006677
A,info_category_0,Arts Crafts & Sewing,1452,0.006226
A,info_category_0,Patio & Garden,1159,0.00497
A,info_category_0,Jewelry,1131,0.00485
A,info_category_0,Books,903,0.003872
A,info_category_0,Collectibles,814,0.003491
A,info_category_0,Premium Beauty,751,0.00322
A,info_category_0,Seasonal,727,0.003118
A,info_category_0,Cell Phones,709,0.00304
A,info_category_0,Movies & TV Shows,539,0.002311
A,info_category_1,Pantry,16370,0.070198
A,info_category_1,"Snacks, Cookies & Chips",9804,0.042041
A,info_category_1,Beverages,7466,0.032016
A,info_category_1,Kids Clothing,7406,0.031758
A,info_category_1,Candy,5344,0.022916
A,info_category_1,Dogs,4878,0.020918
A,info_category_1,Bath & Body,4760,0.020412
A,info_category_1,Seasonal Grocery,4722,0.020249
A,info_category_1,Household Essentials by Brand,3316,0.01422
A,info_category_1,Baking,3171,0.013598
A,info_category_1,Smoking Cessation,3148,0.013499
A,info_category_1,Decor,3119,0.013375
A,info_category_1,Kitchen & Dining,2974,0.012753
A,info_category_1,Bakery & Bread,2906,0.012461
A,info_category_1,Paper & Plastic,2828,0.012127
A,info_category_1,Outdoor Sports,2619,0.011231
A,info_category_1,Cleaning Supplies,2493,0.01069
A,info_category_1,Feeding,2457,0.010536
A,info_category_1,Action Figures and Playsets,2381,0.01021
A,info_category_1,Frozen Foods,2242,0.009614
A,info_category_1,Womens Clothing,2204,0.009451
A,info_category_1,Dairy & Eggs,2191,0.009395
A,info_category_1,Home Health Care,2160,0.009262
A,info_category_1,"Cars, RC, Drones & Trains",2066,0.008859
A,info_category_1,Cats,2041,0.008752
A,info_category_2,Baby Clothes,2820,0.012093
A,info_category_2,Pantry meal essentials,2415,0.010356
A,info_category_2,Spend Time With Family,2209,0.009473
A,info_category_2,Chips,2192,0.0094
A,info_category_2,Action Figures,2009,0.008615
A,info_category_2,Toddler Clothing,1755,0.007526
A,info_category_2,Gametime Food,1600,0.006861
A,info_category_2,Baking Ingredients,1570,0.006732
A,info_category_2,Boys Clothing,1554,0.006664
A,info_category_2,Puzzles,1401,0.006008
A,info_category_2,"Herbs, spices & seasoning mixes",1230,0.005274
A,info_category_2,Cookies,1177,0.005047
A,info_category_2,Chocolate,1140,0.004889
A,info_category_2,Fishing,1100,0.004717
A,info_category_2,Camping Gear,1078,0.004623
A,info_category_2,Coffee,1076,0.004614
A,info_category_2,Juices,1070,0.004588
A,info_category_2,Canned goods,1030,0.004417
A,info_category_2,Dog Treats,1011,0.004335
A,info_category_2,Cleaning Tools,993,0.004258
A,info_category_2,WWE Toys,983,0.004215
A,info_category_2,Dining & Entertaining,962,0.004125
A,info_category_2,Valentine's Day Food,952,0.004082
A,info_category_2,Laundry Detergents,891,0.003821
A,info_category_2,Womens Activewear,890,0.003816
A,info_category_3,Jigsaw Puzzles,2497,0.010708
A,info_category_3,Action Figure Core,1571,0.006737
A,info_category_3,Baby Boys Clothing,1301,0.005579
A,info_category_3,Baby Girls Clothing,1292,0.00554
A,info_category_3,Toddler Girls (12M-5T) Clothing,1209,0.005184
A,info_category_3,WWE Action Figures,975,0.004181
A,info_category_3,Shop All Cookies,688,0.00295
A,info_category_3,Spin Master Monster Jam,680,0.002916
A,info_category_3,Game Time Drinks,669,0.002869
A,info_category_3,Fishing Lures & Baits,634,0.002719
A,info_category_3,"Frosting, Toppings & Decorations",628,0.002693
A,info_category_3,Snack Crackers,612,0.002624
A,info_category_3,All Body Wash,541,0.00232
A,info_category_3,Chewy and gummy candy,535,0.002294
A,info_category_3,Potato Chips,512,0.002196
A,info_category_3,Gym Wear,508,0.002178
A,info_category_3,Toddler Boys (12M-5T) Clothing,504,0.002161
A,info_category_3,Backyard Camping,501,0.002148
A,info_category_3,Hot Wheels Cars,484,0.002075
A,info_category_3,All Dolls,464,0.00199
A,info_category_3,Dry pasta,428,0.001835
A,info_category_3,Shop All Laundry Detergent,422,0.00181
A,info_category_3,Womens Workout Bottoms,402,0.001724
A,info_category_3,All Dog Toys,390,0.001672
A,info_category_3,Adult Dog Food,374,0.001604
A,sizing_size_user_friendly,One Size,707,0.003032
A,sizing_size_user_friendly,12 oz,509,0.002183
A,sizing_size_user_friendly,16 oz,498,0.002136
A,sizing_size_user_friendly,750 mL,497,0.002131
A,sizing_size_user_friendly,L,381,0.001634
A,sizing_size_user_friendly,12 fl oz,360,0.001544
A,sizing_size_user_friendly,S,352,0.001509
A,sizing_size_user_friendly,8 oz,349,0.001497
A,sizing_size_user_friendly,M,340,0.001458
A,sizing_size_user_friendly,4 oz,293,0.001256
A,sizing_size_user_friendly,Regular,269,0.001154
A,sizing_size_user_friendly,1,256,0.001098
A,sizing_size_user_friendly,10 oz,236,0.001012
A,sizing_size_user_friendly,5 oz,219,0.000939
A,sizing_size_user_friendly,16 fl oz,213,0.000913
A,sizing_size_user_friendly,6 oz,209,0.000896
A,sizing_size_user_friendly,Standard,197,0.000845
A,sizing_size_user_friendly,1 gal,194,0.000832
A,sizing_size_user_friendly,7 oz,183,0.000785
A,sizing_size_user_friendly,2.5 oz,183,0.000785
A,sizing_size_user_friendly,3 oz,183,0.000785
A,sizing_size_user_friendly,3.5 oz,176,0.000755
A,sizing_size_user_friendly,32 oz,172,0.000738
A,sizing_size_user_friendly,15 oz,163,0.000699
A,sizing_size_user_friendly,2 oz,156,0.000669
A,size_bucket,weight:16,5775,0.024764
A,size_bucket,weight:12,4630,0.019854
A,size_bucket,count:2,4620,0.019811
A,size_bucket,weight:8,3183,0.013649
A,size_bucket,count:3,3067,0.013152
A,size_bucket,weight:10,2907,0.012466
A,size_bucket,weight:4,2833,0.012148
A,size_bucket,weight:14,2705,0.0116
A,size_bucket,volume:12,2536,0.010875
A,size_bucket,weight:32,2368,0.010154
A,size_bucket,count:4,2346,0.01006
A,size_bucket,weight:15,1980,0.008491
A,size_bucket,weight:24,1716,0.007359
A,size_bucket,volume:16,1712,0.007341
A,size_bucket,weight:6,1689,0.007243
A,size_bucket,weight:18,1684,0.007221
A,size_bucket,weight:5,1670,0.007161
A,size_bucket,weight:11,1650,0.007076
