item_id_A,name_A,slug_A,item_id_B,name_B,slug_B,slug_jaccard
2258519,Skittles Original Chewy Easter Candy Bunny Cane Easter Basket Stuffers - 2.6 oz,Skittles-Original-Chewy-Easter-Candy-Bunny-Cane-Easter-Basket-Stuffers-2-6-oz,949341,Skittles SKITTLES Original Chewy Easter Candy Bunny Cane,SKITTLES-Original-Chewy-Easter-Candy-Bunny-Cane,0.7
2118940,Lubriderm Daily Moisture Lotion Fragrance-Free 24oz Normal-Dry,Lubriderm-Daily-Moisture-Lotion-Fragrance-Free-24oz-Normal-Dry,109494,"Lubriderm Lotion, Daily Moisture, Fragrance Free",Lotion-Daily-Moisture-Fragrance-Free,0.5556
2104736,"pretzel pieces, hot buffalo wing, 3.25 oz, 6 ct",pretzel-pieces-hot-buffalo-wing-3-25-oz-6-ct,100276,Snyder's of Hanover Hot Buffalo Wing Flavored Pretzel Pieces,Hot-Buffalo-Wing-Flavored-Pretzel-Pieces,0.5556
2102785,"Reese's Milk Chocolate King Size Peanut Butter Pumpkins Halloween Candy, pack 2.4 oz, 2 Pieces",Reese-s-Milk-Chocolate-King-Size-Peanut-Butter-Pumpkins-Halloween-Candy-Pack-2-4-oz-2-Pieces,1084687,"Reese's Candy, Peanut Butter Pumpkins, King Size, 2 Pack",Candy-Peanut-Butter-Pumpkins-King-Size-2-Pack,0.5385
2220191,"(3 pack) Catalina Crunch Protein Snack Mix Creamy Ranch, 5.25 oz",pack-Catalina-Crunch-Protein-Snack-Mix-Creamy-Ranch-5-25-oz,2017813,Catalina Crunch Creamy Ranch Protein Snack Mix,Creamy-Ranch-Protein-Snack-Mix,0.5
363546,"Betty Crocker Walnut Chocolate Chip Cookie Mix, 17.5 oz.",Betty-Crocker-Walnut-Chocolate-Chip-Cookie-Mix-17-5-oz,96577,Betty Crocker Chocolate Chip Cookie Mix,Chocolate-Chip-Cookie-Mix,0.4444
2194438,"Lindt LINDOR Valentine's Day Assorted Chocolate Candy Truffles Heart, 5.5 oz. Gift Box",Lindt-LINDOR-Valentine-s-Day-Assorted-Chocolate-Candy-Truffles-Heart-5-5-oz-Gift-Box,1087106,"Lindt LINDOR Holiday Milk Chocolate Candy Truffles Modern Gift Box, 7.6 oz.",LINDOR-Holiday-Milk-Chocolate-Candy-Truffles-Modern-Gift-Box-76-oz,0.4375
1940756,"Coricidin HBP Maximum Strength Cold, Cough & Flu Medicine, Liquid Gels, 24 Count",Coricidin-HBP-Maximum-Strength-Cold-Cough-Flu-Medicine-Liquid-Gels-24-Count,111487,"Coricidin HBP Cold, Flu & Chest Congestion, Maximum Strength, Liquid Gels",Cold-Flu-Chest-Congestion-Maximum-Strength-Liquid-Gels,0.4286
2383022,"Lubriderm Daily Moisture Lotion For Normal To Dry Skin, Fragrance Free - 6 Oz",Lubriderm-Daily-Moisture-Lotion-For-Normal-To-Dry-Skin-Fragrance-Free-6-Oz,109494,"Lubriderm Lotion, Daily Moisture, Fragrance Free",Lotion-Daily-Moisture-Fragrance-Free,0.4167
2259937,"Liquid Death, Mango Chainsaw, Soda-Flavored Sparkling Water, 6-Pack (12 fl oz Cans), Low Sugar, Huge Flavor and No Artificial Sweeteners",Liquid-Death-Sparkling-Water-Mango-Chainsaw-12oz-Cans-6-Pack,2044193,Liquid Death Mango Chainsaw Flavored Sparkling Water,Mango-Chainsaw-Flavored-Sparkling-Water,0.4
2076891,"Russell Stover Christmas Caramels & Nuts in Milk & Dark Chocolate Candy Gift Box, 9.4 oz.",RUSSELL-STOVER-Christmas-Caramels-Nuts-in-Milk-Dark-Chocolate-Gift-Box-9-4-oz-16-Pieces,1092019,"Russell Stover Assorted Milk & Dark Chocolate Trial Size Gift Box, 1.7 oz. (3 pieces)",Assorted-Milk-Dark-Chocolate-Trial-Size-Gift-Box-17-oz-3-pieces,0.3889
